title,neighbor_title,rank,wasserstein2_distance
심술100단 시리즈,빨간자전거(인터넷연재판),4,0.5798497200012207
심술100단 시리즈,몽홀,5,0.6097800135612488
심술100단 시리즈,40억 vs 1,6,0.6109233498573303
심술100단 시리즈,강도하 청춘 시리즈,7,0.6283096075057983
심술100단 시리즈,만인지상,8,0.642511785030365
심술100단 시리즈,보이지 않는 사람,9,0.6475666761398315
심술100단 시리즈,너에게 하고 싶은 말,10,0.6486268043518066
악녀로 살라신다,악녀에게 의리가 어디 있어,1,0.2756848931312561
악녀로 살라신다,여기사는 더 이상 검을 들지 않았다,2,0.2943684160709381
악녀로 살라신다,포근한 그 남자,3,0.2979273200035095
악녀로 살라신다,붉은실 월하,4,0.3013775944709778
악녀로 살라신다,상자 속 1/36,5,0.30157271027565
악녀로 살라신다,엘리트 공주님의 수석지침서,6,0.31481340527534485
악녀로 살라신다,어느날 절친이 남자가 되어버렸다,7,0.315626859664917
악녀로 살라신다,실신남녀,8,0.32051196694374084
악녀로 살라신다,환생소녀,9,0.36008787155151367
악녀로 살라신다,내 최애가 위험해,10,0.36508288979530334
악녀에게 의리가 어디 있어,여기사는 더 이상 검을 들지 않았다,1,0.26141321659088135
악녀에게 의리가 어디 있어,악녀로 살라신다,2,0.2756848931312561
악녀에게 의리가 어디 있어,엘리트 공주님의 수석지침서,3,0.29626545310020447
악녀에게 의리가 어디 있어,실신남녀,4,0.32678499817848206
악녀에게 의리가 어디 있어,내 최애가 위험해,5,0.3321983814239502
악녀에게 의리가 어디 있어,환생소녀,6,0.3339586555957794
악녀에게 의리가 어디 있어,포근한 그 남자,7,0.349555641412735
악녀에게 의리가 어디 있어,너에게 하고 싶은 말,8,0.35619476437568665
악녀에게 의리가 어디 있어,신농사직설,9,0.35765987634658813
악녀에게 의리가 어디 있어,어느날 절친이 남자가 되어버렸다,10,0.3718423843383789
야수,고삼무쌍,1,0.27377980947494507
야수,만인지상,2,0.3583151400089264
야수,신농사직설,3,0.3596269190311432
야수,강도하 청춘 시리즈,4,0.3623128831386566
야수,다정종합병원,5,0.38580670952796936
야수,이현세 극화시리즈,6,0.38787317276000977
야수,편지창조,7,0.3914572298526764
야수,환생소녀,8,0.4032782018184662
야수,너에게 하고 싶은 말,9,0.4096849858760834
야수,떨림,10,0.4129515290260315
어느날 절친이 남자가 되어버렸다,오빠야 누나야,1,0.24238024652004242
어느날 절친이 남자가 되어버렸다,포근한 그 남자,2,0.25116974115371704
어느날 절친이 남자가 되어버렸다,청소하실 레옹?,3,0.2886332869529724
어느날 절친이 남자가 되어버렸다,환생소녀,4,0.29220181703567505
어느날 절친이 남자가 되어버렸다,붉은실 월하,5,0.3082652986049652
어느날 절친이 남자가 되어버렸다,악녀로 살라신다,6,0.315626859664917
어느날 절친이 남자가 되어버렸다,내 최애가 위험해,7,0.316742479801178
어느날 절친이 남자가 되어버렸다,상자 속 1/36,8,0.31690657138824463
어느날 절친이 남자가 되어버렸다,너에게 하고 싶은 말,9,0.320188969373703
어느날 절친이 남자가 되어버렸다,실신남녀,10,0.32601627707481384
엘리트 공주님의 수석지침서,악녀에게 의리가 어디 있어,1,0.29626545310020447
엘리트 공주님의 수석지침서,악녀로 살라신다,2,0.31481340527534485
엘리트 공주님의 수석지침서,내 최애가 위험해,3,0.3148307800292969
엘리트 공주님의 수석지침서,환생소녀,4,0.3321733772754669
엘리트 공주님의 수석지침서,포근한 그 남자,5,0.33684083819389343
엘리트 공주님의 수석지침서,실신남녀,6,0.3499976098537445
엘리트 공주님의 수석지침서,신농사직설,7,0.3500613272190094
엘리트 공주님의 수석지침서,여기사는 더 이상 검을 들지 않았다,8,0.3539610505104065
엘리트 공주님의 수석지침서,어느날 절친이 남자가 되어버렸다,9,0.3561468720436096
엘리트 공주님의 수석지침서,너에게 하고 싶은 말,10,0.3583821654319763
여기사는 더 이상 검을 들지 않았다,악녀에게 의리가 어디 있어,1,0.26141321659088135
여기사는 더 이상 검을 들지 않았다,악녀로 살라신다,2,0.2943684160709381
여기사는 더 이상 검을 들지 않았다,실신남녀,3,0.3501121401786804
여기사는 더 이상 검을 들지 않았다,엘리트 공주님의 수석지침서,4,0.3539610505104065
여기사는 더 이상 검을 들지 않았다,포근한 그 남자,5,0.3737584352493286
